timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
84,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,2.5715,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5000,0.0000,0.0000,200.0000,10.6900,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,19.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,18.8300,0.0000,0.0000,100.0000
85,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,2.5715,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5000,0.0000,0.0000,200.0000,10.5100,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,18.9300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.0100,0.0000,0.0000,100.0000
86,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,2.5715,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5000,0.0000,0.0000,200.0000,10.5100,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,18.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.0100,0.0000,0.0000,100.0000
87,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,2.5715,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5000,0.0000,0.0000,200.0000,10.5100,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,18.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.0100,0.0000,0.0000,100.0000
88,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,5.4448,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.9885,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,1.1781,4.0221,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5000,0.0000,0.0000,200.0000,10.5100,10.7700,0.0000,0.0000,0.0000,0.0000,0.0000,18.8100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.0100,0.0000,0.0000,100.0000
89,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.2152,0.0000,10.0509,5.4448,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.9885,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,1.1781,4.0221,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.5100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.7400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
90,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.4448,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.9885,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,1.1781,4.0221,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.5100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.6800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
91,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,43.0520,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.4448,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.9885,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,1.1781,4.0221,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.5100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
92,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,35.8775,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.1430,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,4.6874,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.5100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.5900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
93,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,35.8775,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.1430,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,1.0931,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.3100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
94,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,35.8775,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.1430,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,1.0931,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.3100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
95,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,35.8775,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,10.0509,5.1430,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,1.0931,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.3100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.5600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
96,00EnNDPL2024/05/18,NDPL,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,77.9477,0.0000,22.2525,55.9120,0.0000,0.0000,0.0000,0.0000,27.6734,389.5088,35.8775,0.0000,69.6064,0.0000,0.0000,57.9700,0.0000,273.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3666,0.0000,0.0000,3.8381,28.2250,36.4309,0.0000,64.2351,42.8521,6.6962,13.0059,8.0958,14.2355,45.4984,0.0000,11.9176,19.3252,24.5520,0.0000,7.5400,5.1430,4.8504,0.0000,12.5149,0.0000,0.0000,0.0000,15.8063,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,1.0931,0.0000,0.3129,4.0007,0.0000,0.0000,0.0000,200.1184,0.0000,0.6977,10.5800,0.0000,0.0000,200.0000,10.3100,10.5400,0.0000,0.0000,0.0000,0.0000,0.0000,18.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0671,0.0000,0.0000,0.0000,0.0000,200.0000,19.1000,0.0000,0.0000,100.0000
