timeslot,revisionno,discomcode,BTPS,PRAGATI,RPH,DADRI_T,GT_OC,CSGS,GT_RLNG,PRG_RLNG,DVC,GT_LF,GT_CC,PRG_G_CC,GT_RLG_C,GT_LF_CC,PG_RLG_C,REGULATE,MTPS6,JHAJJAR,NJPC,CCGT_OC,CCGT_CC,CCGT_RCC,CCGT_ROC,CLPJHAJR,MEJIA7,MAITHON,SECI,RITHL_CC,RITHL_OC,RITHL_RC,RITHL_RO,NHPC,DADRI_T2,ANTA_GF,AURY_GF,FARAKKA,RIHAND1,RIHAND2,RIHAND3,SASAN,SNGRAULI,UNCHHAR1,UNCHHAR2,UNCHHAR3,KAHLGAN1,KAHLGAN2,DADRI_GF,ANTA_RF,AURY_RF,DADRI_RF,KOLDAM,TH_HPP,KTWR_HEP,SEWA2,DMSWSL,NAPP,RAPPB,MUNDRA,RAMPUR,RAPPC,TALA,ANTA_LF,AURY_LF,DADRI_LF,URI,URI2,CHAMERA1,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,PARBATI3,SALAL,TANAKPUR,BSIUL,UNCHAHAR4,PRG_CCLF,PRG_OCLF,CCGTCCSPOT,CCGTOCSPOT,SNG_HYDRO,SHEP,GIREL,RUMS_DMRC,SEIPL,THPPL,NHPPL,ANTA_CRF,AURY_CRF,DADR_CRF,ALFANR_I,ALFANR_II,ALFANR_III,ERCPL_FTG,ERPCL_FTG2,AP41PL_BHDL,ASE4PL,KUDGI,SRIJAN_M,SITAC_BRPL,SITAC_BYPL,TANDA2,KSHNGNGA,SOLAPUR,MEJA,TWEPL,GBHHPL,THAR_BYPL,THAR_BRPL,ASEJ2PL_BYPL,ASEJ2PL_TPDDL,CHANJUII,SECI_BRPL,SECI_BYPL,SECI_TPDDL
84,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,487.1928,31.9566,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,11.9176,19.9903,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,8.9165,5.6058,15.1678,0.0000,0.0000,0.1565,4.0007,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.9800,0.0000,0.0000,200.0000,3.5300,3.9300,0.0000,0.0000,0.0000,0.0000,0.0000,17.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.2800,0.0000,0.0000,100.0000
85,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,31.9566,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,11.9176,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,8.9165,5.6058,15.1678,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.9800,0.0000,0.0000,200.0000,3.4400,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,17.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
86,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,31.9566,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,11.9176,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,8.9165,5.6058,15.1678,0.0000,0.0000,0.1565,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.9800,0.0000,0.0000,200.0000,3.4400,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,17.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
87,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,11.9176,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,8.9165,5.6058,15.1678,0.0000,0.0000,0.0000,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.9800,0.0000,0.0000,200.0000,3.4400,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,14.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
88,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.4590,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,11.9176,20.3241,24.5520,0.0000,10.2838,5.4448,5.1548,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,8.4074,15.1678,0.0000,0.0000,0.5492,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.9800,0.0000,0.0000,200.0000,3.4400,3.8500,0.0000,0.0000,0.0000,0.0000,0.0000,14.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.3700,0.0000,0.0000,100.0000
89,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.2838,5.4448,5.1548,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,0.0000,0.0000,0.5492,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.8300,0.0000,0.0000,200.0000,3.3500,4.2300,0.0000,0.0000,0.0000,0.0000,0.0000,13.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
90,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.2838,5.4448,5.1548,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,11.2116,15.1678,0.0000,0.0000,0.5492,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,4.8300,0.0000,0.0000,200.0000,3.3500,4.2300,0.0000,0.0000,0.0000,0.0000,0.0000,13.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
91,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.2838,5.4448,5.1548,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.7870,12.9316,12.1250,8.9165,8.4074,15.1678,0.0000,0.0000,0.5492,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.1100,0.0000,0.0000,200.0000,3.3500,4.2300,0.0000,0.0000,0.0000,0.0000,0.0000,14.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
92,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,35.8775,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,8.9165,4.8616,10.1110,0.0000,0.0000,0.5891,4.0007,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.8900,0.0000,0.0000,200.0000,3.3500,4.2300,0.0000,0.0000,0.0000,0.0000,0.0000,14.1700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
93,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,26.1456,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,2.4308,10.1110,0.0000,0.0000,0.5891,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.8900,0.0000,0.0000,200.0000,3.3500,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,14.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
94,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,17.4304,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.5891,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.8900,0.0000,0.0000,200.0000,3.3500,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,14.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
95,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,11.6194,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.5891,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.8900,0.0000,0.0000,200.0000,3.3500,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,14.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
96,70EnNDPL2024/05/02,NDPL,0.0000,0.0000,0.0000,0.0000,16.0218,0.0000,0.0000,0.0000,77.9477,0.0000,10.6812,52.0560,0.0000,0.0000,3.8560,0.0000,27.6734,573.3728,5.8110,0.0000,69.6064,0.0000,0.0000,115.6200,0.0000,273.4500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3231,0.0000,0.0000,6.3814,24.4010,35.5815,0.0000,64.2351,41.3379,6.5779,6.3278,7.9200,14.2355,45.4984,0.0000,12.0782,20.3241,24.5520,0.0000,10.0509,2.4193,4.9923,0.0000,12.8093,0.0000,0.0000,0.0000,16.0776,0.0000,0.0000,0.0000,0.0000,10.6705,9.0792,12.9316,12.1250,5.9392,0.0000,10.1110,0.0000,0.0000,0.5891,6.0010,0.0000,0.0000,0.0000,208.8192,0.0000,0.6889,3.8900,0.0000,0.0000,200.0000,3.3500,4.1500,0.0000,0.0000,0.0000,0.0000,0.0000,15.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,8.0039,0.0000,0.0000,0.0000,0.0000,200.0000,12.4700,0.0000,0.0000,100.0000
